,Camera,Radar,Fusion
133,35.956443987872206,35.83332061767578,35.83332061767578
134,35.95403287676109,35.83332061767578,35.83332061767578
135,37.0519626115257,36.600250244140625,36.600250244140625
136,37.04948261152571,36.600250244140625,36.600250244140625
137,35.95403287676109,35.83332061767578,35.83332061767578
138,37.047002611525706,36.600250244140625,36.600250244140625
139,37.047002611525706,36.600250244140625,36.600250244140625
140,37.044522611525714,36.600250244140625,36.600250244140625
141,37.044522611525714,36.600250244140625,36.600250244140625
142,35.963677321205545,35.83332061767578,35.83332061767578
143,34.92483447901086,35.0435676574707,34.98420106824078
144,35.96126621009443,35.83332061767578,35.83332061767578
145,34.92248853306492,35.0435676574707,34.98302809526781
146,35.949210654538874,35.83332061767578,35.83332061767578
147,34.915450695227086,35.0435676574707,34.9795091763489
148,34.92483447901086,35.0435676574707,34.98420106824078
149,35.94679954342776,35.83332061767578,35.83332061767578
150,35.94679954342776,35.83332061767578,35.83332061767578
151,34.91075880333519,35.0435676574707,34.97716323040295
152,34.917796641173034,35.0435676574707,34.980682149321865
153,33.93609915482636,34.245811462402344,34.090955308614355
154,33.00474512931798,33.087825775146484,33.04628545223223
155,34.91310474928114,35.0435676574707,34.97833620337592
156,33.00697077034362,33.087825775146484,33.047398272745056
157,33.93609915482636,34.245811462402344,34.090955308614355
158,33.00697077034362,33.087825775146484,33.047398272745056
159,33.00251948829234,33.087825775146484,33.04517263171941
160,33.92239389166846,34.245811462402344,34.0841026770354
161,33.0002938472667,33.087825775146484,33.044059811206594
162,33.926962312721095,34.245811462402344,34.086386887561716
163,33.92239389166846,34.245811462402344,34.0841026770354
164,33.92239389166846,34.245811462402344,34.0841026770354
165,33.92010968114215,34.245811462402344,34.08296057177225
166,33.91554126008951,34.245811462402344,34.08067636124593
167,33.91782547061583,34.245811462402344,34.08181846650909
168,33.91782547061583,34.245811462402344,34.08181846650909
169,33.91782547061583,34.245811462402344,34.08181846650909
170,33.91554126008951,34.245811462402344,34.08067636124593
171,33.91554126008951,34.245811462402344,34.08067636124593
172,33.91554126008951,34.245811462402344,34.08067636124593
173,34.89199123576763,35.0435676574707,34.96777944661916
174,33.91554126008951,34.245811462402344,34.08067636124593
175,33.9132570495632,34.245811462402344,34.07953425598277
176,32.98248871906157,33.087825775146484,33.035157247104024
177,33.90868862851057,34.245811462402344,34.07725004545645
178,33.91097283903688,34.245811462402344,34.07839215071961
179,32.98026307803593,33.087825775146484,33.03404442659121
180,32.98248871906157,33.087825775146484,33.035157247104024
181,32.10042880508502,32.30806350708008,32.20424615608255
182,32.98248871906157,33.087825775146484,33.035157247104024
183,32.98026307803593,33.087825775146484,33.03404442659121
184,32.98026307803593,33.087825775146484,33.03404442659121
185,33.90868862851057,34.245811462402344,34.07725004545645
186,32.98026307803593,33.087825775146484,33.03404442659121
187,32.98026307803593,33.087825775146484,33.03404442659121
188,32.98026307803593,33.087825775146484,33.03404442659121
189,33.90868862851057,34.245811462402344,34.07725004545645
190,33.906404417984255,34.245811462402344,34.076107940193296
191,33.90868862851057,34.245811462402344,34.07725004545645
192,32.98026307803593,33.087825775146484,33.03404442659121
193,33.906404417984255,34.245811462402344,34.076107940193296
194,32.97581179598465,33.087825775146484,33.03181878556556
195,32.97581179598465,33.087825775146484,33.03181878556556
196,32.97358615495901,33.087825775146484,33.030705965052746
197,32.97581179598465,33.087825775146484,33.03181878556556
198,32.093918805085025,32.30806350708008,32.20099115608255
199,32.089578805085026,32.30806350708008,32.19882115608255
200,32.091748805085025,32.30806350708008,32.19990615608255
201,32.089578805085026,32.30806350708008,32.19882115608255
202,32.089578805085026,32.30806350708008,32.19882115608255
203,32.08740880508502,32.30806350708008,32.19773615608255
204,32.08740880508502,32.30806350708008,32.19773615608255
205,32.08740880508502,32.30806350708008,32.19773615608255
206,32.08740880508502,32.30806350708008,32.19773615608255
207,32.08740880508502,32.30806350708008,32.19773615608255
208,32.08740880508502,32.30806350708008,32.19773615608255
209,32.08740880508502,32.30806350708008,32.19773615608255
210,32.08740880508502,32.30806350708008,32.19773615608255
211,32.08523880508503,32.30806350708008,32.19665115608255
212,31.246576691790263,31.125673294067383,31.125673294067383
213,32.08306880508503,32.30806350708008,32.19556615608255
214,32.08523880508503,32.30806350708008,32.19665115608255
215,32.08740880508502,32.30806350708008,32.19773615608255
216,32.08306880508503,32.30806350708008,32.19556615608255
217,31.246576691790263,31.125673294067383,31.125673294067383
218,31.244459618619526,31.125673294067383,31.125673294067383
219,31.244459618619526,31.125673294067383,31.125673294067383
220,31.244459618619526,31.125673294067383,31.125673294067383
221,31.244459618619526,31.125673294067383,31.125673294067383
222,31.242342545448803,31.125673294067383,31.125673294067383
223,31.244459618619526,31.125673294067383,31.125673294067383
224,31.240225472278066,31.125673294067383,31.125673294067383
225,31.240225472278066,31.125673294067383,31.125673294067383
226,31.240225472278066,31.125673294067383,31.125673294067383
227,31.240225472278066,31.125673294067383,31.125673294067383
228,31.240225472278066,31.125673294067383,31.125673294067383
229,30.441650869604775,30.321575164794922,30.321575164794922
230,30.441650869604775,30.321575164794922,30.321575164794922
231,31.240225472278066,31.125673294067383,31.125673294067383
232,32.07655880508502,32.30806350708008,32.19231115608255
233,31.235991325936606,31.125673294067383,31.125673294067383
234,31.235991325936606,31.125673294067383,31.125673294067383
235,31.235991325936606,31.125673294067383,31.125673294067383
236,31.23810839910733,31.125673294067383,31.125673294067383
237,31.23810839910733,31.125673294067383,31.125673294067383
238,31.23810839910733,31.125673294067383,31.125673294067383
239,30.43751753627144,30.321575164794922,30.321575164794922
240,30.43751753627144,30.321575164794922,30.321575164794922
241,30.43751753627144,30.321575164794922,30.321575164794922
242,30.43751753627144,30.321575164794922,30.321575164794922
243,30.43751753627144,30.321575164794922,30.321575164794922
244,30.43751753627144,30.321575164794922,30.321575164794922
245,30.435450869604768,30.321575164794922,30.321575164794922
246,30.435450869604768,30.321575164794922,30.321575164794922
247,30.43338420293811,30.321575164794922,30.321575164794922
248,30.435450869604768,30.321575164794922,30.321575164794922
249,30.43338420293811,30.321575164794922,30.321575164794922
250,30.43131753627144,30.321575164794922,30.321575164794922
251,30.43131753627144,30.321575164794922,30.321575164794922
252,31.22752303325367,31.125673294067383,31.125673294067383
253,31.22540596008295,31.125673294067383,31.125673294067383
254,31.22540596008295,31.125673294067383,31.125673294067383
255,31.22540596008295,31.125673294067383,31.125673294067383
256,31.22117181374149,31.125673294067383,31.125673294067383
257,31.22540596008295,31.125673294067383,31.125673294067383
258,31.22328888691221,31.125673294067383,31.125673294067383
259,31.22117181374149,31.125673294067383,31.125673294067383
260,30.423050869604776,30.321575164794922,30.321575164794922
261,30.42511753627144,30.321575164794922,30.321575164794922
262,31.22117181374149,31.125673294067383,31.125673294067383
263,30.41891753627144,30.321575164794922,30.321575164794922
264,30.41891753627144,30.321575164794922,30.321575164794922
265,31.216937667400014,31.125673294067383,31.125673294067383
